Id,Label
0,0.91785467
1,0.668062
2,0.98493063
3,0.22919266
4,0.43658105
5,0.069345154
6,0.46551204
7,0.88698316
8,0.7725787
9,0.9431953
10,0.90506417
11,0.009437917
12,0.0022624333
13,0.999671
14,0.9526856
15,0.0011750427
16,0.9995333
17,0.8394042
18,0.9970451
19,0.017224453
20,0.92725295
21,0.94883776
22,0.9993414
23,0.99756694
24,0.95116657
25,0.9779221
26,0.9900315
27,0.5043058
28,0.998914
29,0.9622873
30,0.82601404
31,0.37196016
32,0.9083051
33,0.9591941
34,0.8625934
35,0.43332168
36,0.80546284
37,0.09926896
38,0.00030075136
39,0.9515444
40,0.99928457
41,0.90194714
42,0.9994091
43,0.9971814
44,0.86615884
45,0.9976428
46,0.07860449
47,0.9774664
48,0.9669486
49,0.9634623
50,0.94384795
51,0.19921795
52,0.18704274
53,0.018407647
54,0.3101354
55,0.98292243
56,0.4798685
57,0.90524507
58,0.48706797
59,0.9290526
60,0.8338505
61,0.034485042
62,0.39962098
63,0.538762
64,0.70410955
65,0.9999281
66,0.011203575
67,0.99990976
68,0.3999271
69,0.75851834
70,0.97914326
71,0.99332994
72,0.9983064
73,0.97046083
74,0.8938462
75,0.81728065
76,0.9986934
77,0.8994665
78,0.97447455
79,0.9999263
80,0.022310173
81,0.8875353
82,0.48652372
83,0.9234775
84,0.046180855
85,0.94242483
86,0.40944088
87,0.003377195
88,0.00034920246
89,0.9961272
90,0.36316225
91,0.14757441
92,0.013839438
93,0.99116206
94,0.94563746
95,0.6617013
96,0.99942493
97,0.00027237163
98,0.3071991
99,0.07519819
100,0.5770955
101,0.6983248
102,0.1914084
103,0.9068454
104,0.7736246
105,0.9995486
106,0.39423183
107,0.9236485
108,0.4468502
109,0.9841254
110,0.9842646
111,0.91976017
112,0.8071299
113,0.80872667
114,0.98413795
115,0.016199421
116,0.7079422
117,0.00819324
118,0.9788238
119,0.21030247
120,0.47945637
121,0.9674778
122,0.5478985
123,0.995272
124,0.9829184
125,0.23686893
126,0.09796254
127,0.9823314
128,0.9609132
129,0.76386166
130,0.73831856
131,0.99645835
132,0.94646454
133,0.9996989
134,0.017636407
135,0.992125
136,0.50625855
137,0.5312497
138,0.03829593
139,0.9995987
140,0.07437639
141,0.004422941
142,0.03009747
143,0.91343015
144,0.9753201
145,0.46089602
146,0.93353796
147,0.9121802
148,0.9733734
149,0.0064949305
150,0.81664485
151,0.8844145
152,0.69702345
153,0.9247486
154,0.99500775
155,0.4671274
156,0.7978803
157,0.47326314
158,0.9939075
159,0.91248393
160,0.9598615
161,0.81125265
162,0.44003338
163,0.054992188
164,0.00020524628
165,0.8543627
166,0.9302454
167,0.98155814
168,0.9703359
169,0.55568004
170,0.9456298
171,0.48165166
172,0.9714282
173,0.13937804
174,0.9977144
175,0.93693703
176,0.66410595
177,0.48414835
178,0.1011679
179,0.999998
180,0.07780744
181,0.56112754
182,0.99916625
183,0.9120837
184,0.18984674
185,0.4902213
186,0.36187103
187,0.02132192
188,0.8009287
189,0.9997203
190,0.06650013
191,0.6559888
192,0.055916596
193,0.29808426
194,0.536903
195,0.3537762
196,0.9588058
197,0.29603797
198,0.950125
199,0.8711849
200,0.41866466
201,0.44020882
202,0.9667378
203,0.9995414
204,0.9999925
205,0.96757495
206,0.5380911
207,0.10455607
208,0.47333375
209,0.842934
